cpu power,cpu frequency,client price,expect power
12.750000,1800000,808,9.562500
12.450000,1800000,807,9.337500
12.240000,2400000,850,12.240000
14.810000,1800000,834,11.107500
12.280000,1800000,790,9.210000
12.710000,1800000,798,9.532500
12.230000,1800000,791,9.172500
12.190000,1800000,797,9.142500
12.270000,1800000,804,9.202500
12.590000,1800000,804,9.442500
17.210000,1800000,869,12.907500
11.970000,1800000,829,8.977500
12.650000,1800000,809,9.487500
11.980000,1800000,794,8.985000
11.080000,1800000,738,8.310000
12.380000,1800000,841,9.285000
11.990000,1800000,797,8.992500
12.250000,1800000,778,9.187500
12.150000,1800000,818,9.112500
12.260000,1800000,800,9.195000
12.120000,1800000,787,9.090000
12.330000,1800000,806,9.247500
12.230000,1800000,714,9.172500
12.400000,1800000,806,9.300000
18.830000,1800000,890,14.122500
12.060000,1800000,801,9.045000
12.150000,1800000,796,9.112500
12.330000,1800000,800,9.247500
12.020000,1800000,800,9.015000
12.310000,1800000,784,9.232500
12.240000,1800000,804,9.180000
20.050000,1800000,890,15.037500
12.200000,1800000,787,9.150000
12.290000,1800000,802,9.217500
11.950000,1800000,797,8.962500
8.610000,1800000,735,6.457500
12.040000,1800000,886,9.030000
12.660000,1800000,806,9.495000
12.260000,1800000,783,9.195000
12.230000,1800000,804,9.172500
12.180000,1800000,798,9.135000
12.200000,1800000,800,9.150000
11.910000,1800000,744,8.932500
